id,area,domain,section,verification,derives_from,statement
PLX-UX-082,UX,User experience,§28,"T, D","§28, §44 R1","Objects captured on mobile MUST be attributed to a Desk at capture time, with a user-configurable default capture Desk."
PLX-UX-085,UX,User experience,§82,T,"§82, §25",Collaborative Resume content MUST be permission-filtered per viewing user at render time (PLX-RES-004).
PLX-UX-086,UX,User experience,§82,"I, T","§82, new","Team awareness data MUST NOT be aggregated into individual activity reports without explicit tenant configuration, subject to PLX-SEC-033."
PLX-UX-090,UX,User experience,§29,"I, T",§29,"No Context, Relationship, Decision or Resume data MUST be stored in a presentation-specific form. Presentation state (layout, viewport, device class) MUST be stored separately from semantic state."
PLX-UX-091,UX,User experience,§29,"T, I","§29, §84","Every capability exposed through the primary interface MUST be reachable through the public API (§63), so that alternative interfaces are first-class rather than privileged."
PLX-A11Y-001,A11Y,Accessibility,§27,"T, D, I",§27,The platform MUST conform to WCAG 2.2 Level AA. Conformance MUST be verified per release against the published success criteria.
PLX-A11Y-002,A11Y,Accessibility,§27,"T, D",§27,"Every function MUST be operable by keyboard alone, with a visible focus indicator and no keyboard trap."
PLX-A11Y-003,A11Y,Accessibility,§27,"T, D","§27, new","The spatial Canvas MUST provide an equivalent non-spatial, linear, screen-reader-navigable representation of Desk contents, structure and Object relationships."
PLX-A11Y-004,A11Y,Accessibility,§27,"T, D",§27,"Context Health states MUST be distinguishable without reliance on colour, using shape, text, or iconography in addition to colour."
PLX-A11Y-005,A11Y,Accessibility,§27,"T, D",§27,"The platform MUST honour prefers-reduced-motion and provide an in-product reduced-motion setting that suppresses non-essential animation, including Canvas transitions and presence animation."
PLX-A11Y-006,A11Y,Accessibility,§27,"T, D",§27,"Interface text and layout MUST remain functional at 200% zoom and at user-configured text scaling, without loss of content or functionality."
PLX-A11Y-007,A11Y,Accessibility,§27,D,"§27, §28","Voice interaction, dictation and transcription MUST be available for Resume review, Decision approval and Object capture."
PLX-A11Y-008,A11Y,Accessibility,§27,I,"§27, §74",Accessibility review MUST be a blocking item in the Definition of Done (§74). A feature MUST NOT be marked done with an open Level AA defect.
PLX-DOM-001,DOM,Domain model,§30,I,§30,"Every persisted concept MUST be expressible through the entities defined in Part IV. Introduction of a new persisted concept MUST proceed by amendment to this Part, not by ad-hoc storage."
PLX-DOM-002,DOM,Domain model,§30,"I, A","§30, new","No service MUST persist domain state outside the entity model, including in caches used as systems of record, in blob metadata, or in message payloads treated as durable."
PLX-DOM-010,DOM,Domain model,§32,"T, I","§32, new","Entity identifiers MUST be UUIDv7. Identifiers MUST be generable client-side without coordination, so that offline creation and later reconciliation are possible without renumbering."
PLX-DOM-011,DOM,Domain model,§32,"T, I","§32, §69","Every entity MUST carry organisationId. Every data-access path MUST filter on organisationId at the persistence layer, not solely in application code."
PLX-DOM-012,DOM,Domain model,§32,T,"§32, new",Every entity MUST carry schemaVersion. Readers MUST tolerate unknown fields and MUST be able to upcast prior schema versions.
PLX-DOM-013,DOM,Domain model,§32,"I, T","§32, new","relationships and eventHistory on BaseEntity are materialised references, not the system of record. The authoritative sources are the Graph Engine and Event Store respectively. Writers MUST NOT treat these fields as authoritative."
PLX-DOM-014,DOM,Domain model,§32,T,"§32, §70, new",aiMetadata.provenance MUST be set on every entity at creation and MUST NOT be downgraded from ai_generated to human by any subsequent operation.
PLX-DOM-015,DOM,Domain model,§32,T,"§32, §44 R5","deletedAt MUST affect visibility only. No process MUST interpret a non-null deletedAt as authority to remove Events, Relationships or version history."
PLX-DOM-020,DOM,Domain model,§33,"I, T","§11, §34","No Object type MUST receive privileged treatment in storage, permission evaluation, event generation, versioning or Context Health computation."
PLX-DOM-021,DOM,Domain model,§33,T,"§33, new","DeskAiConfig.enabled = false MUST disable all AI reasoning for the Desk, including background relationship discovery, embedding generation and Resume summarisation, while leaving deterministic Context Health and Resume assembly operational."
PLX-DOM-022,DOM,Domain model,§33,"T, D","§33, §12",An inferred Objective MUST carry a confidence band and MUST be visually marked as unconfirmed until a user accepts it (PLX-PRD-006).
PLX-DOM-030,DOM,Domain model,§34,"T, I","§20.1, §34","Context Health MUST NOT be stored as a scalar attribute on the Object entity. It MUST be computed or materialised per (user, Object) pair (PLX-UX-020)."
PLX-DOM-031,DOM,Domain model,§34,T,"§16, §34",DeskPresence.effectivePermissions MUST be computed as the most restrictive intersection of the owning Desk permissions and the presenting Desk permissions (PLX-PRD-061).
PLX-DOM-032,DOM,Domain model,§34,"T, A","§34, §64, new",Large Object content MUST be stored out-of-band via contentRef and MUST NOT be embedded in Event payloads. Events MUST reference content by immutable digest.
PLX-DOM-040,DOM,Domain model,§37,T,"§37.4, §7.7",decisionOwner and every Approval.approver MUST be a human principal. An Agent or service principal MUST NOT be recorded as a Decision owner or approver.
PLX-DOM-041,DOM,Domain model,§37,"T, D",§37.4,"aiCommentary MUST be stored and displayed as advisory. It MUST NOT be rendered in a manner that implies it constitutes the Decision, the rationale of record, or an approval."
PLX-DOM-042,DOM,Domain model,§37,T,"§37, §20","Superseding a Decision MUST set supersededById, MUST create a DecisionSuperseded Event, and MUST trigger Context Health re-evaluation for every Object referencing the superseded Decision."
PLX-DOM-043,DOM,Domain model,§37,"T, I","§37.2, new","Rejected alternatives MUST be retained permanently. The record of what was *not* chosen, and why, MUST NOT be pruned by any retention or compression process."
PLX-DOM-050,DOM,Domain model,§40,"T, I","§40, §25","FocusRecord data (which Object, for how long) MUST be classified as presence-class data and MUST be subject to the retention constraints of PLX-UX-072."
PLX-DOM-051,DOM,Domain model,§40,T,"§40, new","Sessions MUST be closed by explicit exit, by timeout, or by recovery on next connection. An unclosed Session MUST NOT block Resume generation."
PLX-ARC-001,ARC,Platform & service architecture,§45,"I, T","§45, §46",Each service MUST own exactly one business capability and MUST own its own datastore. No service MUST read or write another service's datastore directly.
PLX-ARC-002,ARC,Platform & service architecture,§45,"I, A",§46,Inter-service communication MUST occur exclusively through published APIs and Events. Shared-database integration between services MUST NOT be used.
PLX-ARC-010,ARC,Platform & service architecture,§45,"T, A",§45,"Every service MUST be horizontally scalable without coordinated deployment, and MUST tolerate concurrent instances of itself processing the same event stream partition set."
PLX-ARC-020,ARC,Platform & service architecture,§47,"T, I","§47, §73","Every service MUST publish an OpenAPI or equivalent machine-readable contract, and an AsyncAPI or equivalent Event contract, versioned and validated in CI."
PLX-ARC-021,ARC,Platform & service architecture,§47,I,§73,Every service MUST document its failure modes and recovery procedures before production deployment (§73).
PLX-ARC-022,ARC,Platform & service architecture,§47,"T, A","§45, new","No service MUST require synchronous availability of the AI Orchestrator to serve its core capability. Loss of AI availability MUST degrade the platform to deterministic operation, not to unavailability."
PLX-EVT-010,EVT,"Events, event store & contracts",§35,"T, I","§35.4, §49","Events MUST be immutable once written. The Event Store MUST NOT expose update or delete operations for Event records through any interface, including administrative interfaces."
PLX-EVT-011,EVT,"Events, event store & contracts",§35,T,"§35.2, new","Every Event MUST carry correlationId and, where it was caused by another Event or a command, causationId, so that any derived state can be traced to its originating user action."
PLX-EVT-012,EVT,"Events, event store & contracts",§35,T,"§35.2, new","Every Event MUST carry a snapshot of the permissions in effect at emission, so that historical replay evaluates access against the permissions of the time, not of today."
PLX-EVT-013,EVT,"Events, event store & contracts",§35,T,"§35.2, new","Events MUST distinguish occurrence time (timestamp) from ingestion time (recordedAt). Consumers MUST order by sequence within a partition, never by wall-clock timestamp."
PLX-EVT-014,EVT,"Events, event store & contracts",§35,"T, I","§48, new","Event emission and the corresponding state mutation MUST be atomic. Implementations MUST use a transactional outbox or an equivalent mechanism guaranteeing that no state change is committed without its Event, and no Event is published without its state change."
PLX-EVT-015,EVT,"Events, event store & contracts",§35,T,"§48, new",Every Event consumer MUST be idempotent. Consumers MUST tolerate at-least-once delivery and duplicate delivery without producing duplicate derived state.
PLX-EVT-020,EVT,"Events, event store & contracts",§48,"T, A",§48,"Deterministic processing of an Event MUST complete before any AI reasoning is invoked on that Event. AI invocation MUST NOT be a precondition for any Context Health transition, Relationship confirmation or Resume update."
PLX-EVT-021,EVT,"Events, event store & contracts",§48,T,"§48, §45","Failure or unavailability of AI reasoning MUST NOT prevent Event processing, Context Health computation or Resume generation from completing."
PLX-EVT-022,EVT,"Events, event store & contracts",§48,"T, A","§48, new","The Event Bus MUST preserve ordering within a partition. The partition key MUST be deskId for Desk-scoped Events and objectId for Object-scoped Events, so that causally related Events are never reordered relative to one another."
PLX-EVT-023,EVT,"Events, event store & contracts",§48,T,"§48.2, new","Every Event MUST be assigned to exactly one of the categories in §48.2, and the category MUST be carried on the wire."
PLX-EVT-024,EVT,"Events, event store & contracts",§48,T,"§48, new",Consumers MUST handle out-of-order delivery across partitions and MUST NOT assume global total ordering.
PLX-EVT-030,EVT,"Events, event store & contracts",§49,"T, I",§49,"The Event Store MUST be immutable and append-only. No interface, including administrative and database-level access, MUST permit update or deletion of a written Event."
PLX-EVT-031,EVT,"Events, event store & contracts",§49,T,§49,"The Event Store MUST support full and selective replay, reconstructing the state of any Desk at any point in its history."
PLX-EVT-032,EVT,"Events, event store & contracts",§49,"T, I",§49,"The Event Store MUST be time-indexed and tenant-isolated, and MUST be encrypted at rest with tenant-scoped key material."
PLX-EVT-033,EVT,"Events, event store & contracts",§49,T,"§49, new","Replay MUST evaluate access against the permission snapshot carried on each Event (PLX-EVT-012), not against current permissions."
PLX-EVT-034,EVT,"Events, event store & contracts",§49,"T, I","§49, §69.7, new",Personal data within Event payloads MUST be stored under per-subject encryption keys such that destruction of the key renders that data permanently unrecoverable without modifying any Event record.
PLX-EVT-035,EVT,"Events, event store & contracts",§49,"T, I","§49, new","Event schema evolution MUST be supported by an upcasting layer. Readers MUST be able to interpret every schema version ever written. Upcasters MUST be versioned, tested against archived fixtures of each historical schema, and retained indefinitely."
PLX-EVT-036,EVT,"Events, event store & contracts",§49,T,"§49, new","The platform MUST define and enforce a maximum Event payload size, and MUST reject oversized Events rather than truncating them. Large content MUST be referenced by digest (PLX-DOM-032)."
PLX-EVT-040,EVT,"Events, event store & contracts",§64,T,"§64, new",Every Event MUST conform to CloudEvents v1.0.2 structure and MUST carry the Plexi extension attributes of §64.1.
PLX-EVT-041,EVT,"Events, event store & contracts",§64,"T, I",§64.2,Event type names MUST be past tense and MUST carry an explicit version suffix. Command-shaped event names MUST be rejected in CI by a naming lint.
PLX-EVT-042,EVT,"Events, event store & contracts",§64,T,"§64, RFC/CE",Producers MUST guarantee that source + id is unique for each distinct Event.
PLX-EVT-043,EVT,"Events, event store & contracts",§64,"T, I","§64, new","Every Event type MUST have a published JSON Schema at a stable dataschema URI, versioned, and validated in CI against every producer and consumer."
PLX-EVT-044,EVT,"Events, event store & contracts",§64,"I, T","§64, §49",A breaking change to an Event schema MUST be published as a new type version. Existing type versions MUST NOT be redefined.
PLX-EVT-045,EVT,"Events, event store & contracts",§64,T,"§64, §34","Large state payloads MUST be carried as content digests, not inline (PLX-DOM-032)."
PLX-SYN-001,SYN,Synchronisation,§50,"I, T","§50, decision","Collaborative text and rich-text Objects MUST use a CRDT with proven convergence, selected to support offline editing and reconnection without a coordinating server."
PLX-SYN-002,SYN,Synchronisation,§50,A,"§50, new","The chosen CRDT implementation MUST have a defined garbage-collection or compaction strategy for tombstones and history metadata, and its growth characteristics MUST be load-tested against a document with 10⁶ cumulative edits before Phase 1 exit."
PLX-SYN-003,SYN,Synchronisation,§50,T,§50.2,Conflict resolution MUST be deterministic for every data class in §50.2. AI MUST NOT participate in conflict resolution for any class marked deterministic.
PLX-SYN-010,SYN,Synchronisation,§50,T,"§45, §32","Offline clients MUST be able to create Objects and Events with client-generated identifiers and reconcile on reconnection without renumbering, duplication or loss."
PLX-SYN-011,SYN,Synchronisation,§50,T,"§35, new","On reconnection, an offline client's Events MUST be ingested with their original timestamp preserved and a distinct recordedAt, and downstream consumers MUST handle late-arriving Events without corrupting derived state."
PLX-SYN-012,SYN,Synchronisation,§50,"T, D","§50, new","Where an offline edit cannot be merged (a Workflow or Decision class conflict), the platform MUST surface the conflict to the user with both versions intact and MUST NOT silently discard either."
PLX-CTX-001,CTX,Context Engine,§38,T,§38.2,Context Objects MUST be versioned and retained. Superseded Context Objects MUST remain retrievable for audit.
PLX-CTX-002,CTX,Context Engine,§38,T,"§38, §12","Every field in a Context Object derived from inference MUST carry source, confidence and evidence (CognitiveField)."
PLX-CTX-010,CTX,Context Engine,§51,T,"§51, §48","Materiality scoring MUST be deterministic and reproducible. Given identical inputs, it MUST produce an identical score."
PLX-CTX-011,CTX,Context Engine,§51,"T, A","§48, §51",Materiality scoring MUST NOT require an AI model call in its primary path. AI MAY be used to enrich explanation after scoring completes.
PLX-CTX-012,CTX,Context Engine,§51,"T, I","§51, new","Materiality thresholds MUST be tenant-configurable and MUST be recorded on each scoring Event, so that a change in threshold is distinguishable from a change in behaviour when auditing historical decisions."
PLX-CTX-013,CTX,Context Engine,§51,"T, A","§51, §80","The Context Engine MUST bound dependency propagation by configured maximum depth and maximum fan-out. Where a propagation is truncated by either bound, the truncation MUST be recorded and MUST be visible in the resulting attention record."
PLX-CTX-014,CTX,Context Engine,§51,A,"§58, new",Context Health computation MUST meet PLX-PERF-020 for direct impact and PLX-PERF-021 for propagated impact. These are separate budgets and MUST NOT be conflated.
PLX-CTX-020,CTX,Context Engine,§80,T,§80,"Materiality scoring MUST be a pure function of its declared inputs — deterministic, reproducible and free of model invocation (PLX-CTX-010, PLX-CTX-011)."
PLX-CTX-021,CTX,Context Engine,§80,T,"§80, new","The materiality function and its weights MUST be versioned, and the version MUST be recorded on every scoring Event, so that historical scores remain interpretable after the function changes."
PLX-CTX-022,CTX,Context Engine,§80,"T, I","§80, new","Materiality weights MUST be tunable per tenant without code deployment, and every tuning change MUST emit an auditable Event."
PLX-CTX-023,CTX,Context Engine,§80,"A, T",§80,Propagation MUST be incremental. A change MUST NOT trigger recalculation of unaffected graph regions.
PLX-CTX-024,CTX,Context Engine,§80,"T, A","§80, §51","Propagation MUST be bounded by maximum depth and maximum fan-out, both tenant-configurable, and truncation MUST be recorded and visible (PLX-CTX-013)."
PLX-CTX-025,CTX,Context Engine,§80,"A, T","§80, §58",Synchronous propagation MUST be limited to the budget of PLX-PERF-021; propagation beyond that budget MUST continue asynchronously and MUST update Context Health on completion.
